genero,total_musicas,popularidade_media,dancabilidade_media,energia_media,streams_total,melhor_posicao,paises_chart_media
acoustic,1000,42.483,0.55,0.435,83405534673.0,1.0,21.657
afrobeat,999,24.407,0.669,0.703,4708762685.0,1.0,10.651
alt-rock,999,33.897,0.535,0.754,29308711194.0,1.0,15.628
ambient,999,44.208,0.368,0.237,9908390922.0,1.0,12.328
cantopop,999,34.754,0.548,0.462,1083316697.0,1.0,2.15
tango,999,19.867,0.538,0.373,4254624588.0,1.0,10.359
chicago-house,998,12.334,0.766,0.733,6751069490.0,1.0,16.465
forro,998,41.832,0.65,0.79,3574014242.0,1.0,3.451
bluegrass,998,25.681,0.535,0.53,2978874851.0,1.0,11.204
study,998,26.128,0.685,0.411,8098955889.0,1.0,14.923
disney,998,27.488,0.463,0.303,9128039330.0,1.0,14.406
breakbeat,997,20.172,0.646,0.853,9510849343.0,1.0,15.692
heavy-metal,997,26.184,0.428,0.874,983883041.0,1.0,5.356
sleep,997,35.042,0.167,0.343,741701998.0,1.0,9.625
black-metal,996,22.432,0.297,0.875,2550283361.0,1.0,13.165
anime,995,48.777,0.538,0.674,6739406793.0,1.0,12.187
happy,995,21.69,0.553,0.911,10461528661.0,1.0,13.641
j-idol,995,24.616,0.549,0.868,3028061447.0,1.0,9.053
club,994,33.354,0.604,0.723,20842465358.0,1.0,16.366
idm,990,15.522,0.527,0.556,5935943565.0,1.0,14.64
comedy,990,24.613,0.577,0.701,5152908766.0,1.0,14.448
iranian,988,2.225,0.3,0.545,4854712886.0,1.0,12.187
malay,988,30.172,0.629,0.576,2614497469.0,1.0,14.058
salsa,988,28.109,0.669,0.724,10966265059.0,1.0,7.721
kids,986,14.771,0.779,0.614,39759168678.0,1.0,23.274
grindcore,985,14.522,0.272,0.926,2379544303.0,1.0,13.882
honky-tonk,981,16.411,0.572,0.367,3496963360.0,1.0,11.882
new-age,974,29.047,0.348,0.213,9585950142.0,1.0,14.724
children,974,34.856,0.715,0.493,34429916850.0,1.0,19.962
deep-house,972,45.573,0.711,0.741,46920885254.0,1.0,19.456
chill,972,53.739,0.666,0.43,36497200690.0,1.0,20.194
detroit-techno,956,11.131,0.723,0.708,7504003517.0,1.0,15.98
drum-and-bass,955,26.738,0.532,0.876,23427841249.0,1.0,19.032
dance,948,23.719,0.691,0.707,248917072721.0,1.0,39.408
country,946,17.346,0.555,0.592,34505643502.0,1.0,17.972
spanish,941,39.899,0.601,0.706,7830345034.0,1.0,8.032
dancehall,939,34.955,0.731,0.688,41749704625.0,1.0,17.251
blues,938,31.179,0.569,0.577,28564938876.0,1.0,17.281
brazil,937,44.646,0.564,0.612,1893884609.0,1.0,6.436
dub,933,40.326,0.57,0.712,18603954434.0,1.0,18.656
emo,932,48.5,0.601,0.668,47114058475.0,1.0,20.649
disco,928,33.999,0.673,0.735,9389419351.0,1.0,12.348
world-music,923,41.536,0.414,0.535,4588275848.0,1.0,11.491
k-pop,917,59.359,0.642,0.683,42551153436.0,1.0,34.479
